Companies,Types,Years,Currencies,Account,Description,Period,Amount
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,1,0
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,2,5
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,3,0
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,4,5
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,5,0
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,6,5
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,7,0
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,8,5
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,9,0
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,10,5
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,11,0
PLATTERIVER,BUDGET,2015,Home,PR-556101-51-17-1 -    -      ,System Control Load Dispatch HQ    ,12,5
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,1,852
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,2,735
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,3,800
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,4,813
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,5,762
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,6,777
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,7,831
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,8,767
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,9,0
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,10,430
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,11,819
PLATTERIVER,BUDGET,2015,Home,PR-562101-12-17-1 -    -      ,Station Expense                    ,12,901
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,1,332
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,2,292
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,3,311
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,4,317
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,5,299
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,6,303
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,7,321
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,8,302
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,9,0
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,10,168
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,11,322
PLATTERIVER,BUDGET,2015,Home,PR-562101-38-17-1 -    -      ,Station Expense                    ,12,349
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,1,852
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,2,735
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,3,800
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,4,813
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,5,762
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,6,777
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,7,831
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,8,767
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,9,0
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,10,430
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,11,819
PLATTERIVER,BUDGET,2015,Home,PR-566101-12-17-1 -    -      ,Miscellaneous Transmission Expense ,12,901
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,1,332
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,2,292
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,3,311
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,4,317
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,5,299
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,6,303
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,7,321
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,8,302
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,9,0
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,10,168
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,11,322
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,12,349
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,1,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,2,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,3,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,4,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,5,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,6,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,7,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,8,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,9,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,10,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,11,"3,000.00"
