Invoicing Vendor Number,Vendor,Line ID ,Invoicing Vendor Name,Invoice Line Description,PO Line Description,Extended line amount_1,Extended line amount_2,G/L Account number,Processing Date,Invoice Number,Line Number,PO Number,PO Line,Work Order Number,WO Task,Invoice gross amount_1,Invoice gross amount_2,Date invoice entered,Catalog Item Number,Catalog Item Name,Entity Number,Entity Name,Date and time of last check,Check Number,Check Date
12450,VENDOR 195,2,VENDOR 195,,EZIWEIGH 7,1130,USD,PR-107101-94-17-11-1322-000000,12/31/2014,I-40046,1,             1402264,1,     72487,1,1142,USD,1/12/2015,               15168,EZIWEIGH 7,1STG-000-000,BISON HANDLING FACILITIES,1/23/2015 2:24,38994,1/23/2015
12450,VENDOR 195,3,VENDOR 195,,FREIGHT CHARGES,12,USD,PR-107101-94-17-11-1322-000000,12/31/2014,I-40046,2,             1402264,3,     72487,1,1142,USD,1/12/2015,                1110,FREIGHT CHARGES,1STG-000-000,BISON HANDLING FACILITIES,1/23/2015 2:24,38994,1/23/2015
12450,VENDOR 195,4,VENDOR 195,,FREIGHT CHARGES,38,USD,PR-107101-94-17-11-1322-000000,1/16/2015,I-40259,1,             1402264,3,     72487,1,1283,USD,1/16/2015,                1110,FREIGHT CHARGES,1STG-000-000,BISON HANDLING FACILITIES,1/23/2015 2:24,38994,1/23/2015
12450,VENDOR 195,5,VENDOR 195,,MULTIPURPOSE MP 800 LOAD BARS,1245,USD,PR-107101-94-17-11-1322-000000,1/16/2015,I-40259,2,             1402264,2,     72487,1,1283,USD,1/16/2015,               15169,MULTIPURPOSE MP 800 LOAD BARS,1STG-000-000,BISON HANDLING FACILITIES,1/23/2015 2:24,38994,1/23/2015
5936,VENDOR 100,6,VENDOR 100,,ADDITIONAL ELECTRICAL WORK- FACILITIES. INV# 22963 ,1326.57,USD,PR-107101-94-17-11-1322-000000,5/18/2015,               22963,1,             1300248,94,     74518,1,1326.57,USD,5/18/2015,                1000,SERVICES,1STG-000-000,BISON HANDLING FACILITIES,5/22/2015 6:37,40661,5/22/2015
12518,VENDOR 200,7,VENDOR 200,,PALP CAGE FOR BISON,1000,USD,PR-107101-94-17-11-1322-000000,5/28/2015,APRIL 2 2015,1,             1500527,2,     74518,1,23520,USD,5/28/2015,               15385,PALP CAGE FOR BISON,1STG-000-000,BISON HANDLING FACILITIES,6/5/2015 4:34,40756,6/5/2015
12518,VENDOR 200,8,VENDOR 200,,3 WAY SORT FOR BISON,1800,USD,PR-107101-94-17-11-1322-000000,5/28/2015,APRIL 2 2015,2,             1500527,3,     74518,1,23520,USD,5/28/2015,               15386,3 WAY SORT FOR BISON,1STG-000-000,BISON HANDLING FACILITIES,6/5/2015 4:34,40756,6/5/2015
12518,VENDOR 200,9,VENDOR 200,,FREIGHT CHARGES,1120,USD,PR-107101-94-17-11-1322-000000,5/28/2015,APRIL 2 2015,3,             1500527,5,     74518,1,23520,USD,5/28/2015,                1110,FREIGHT CHARGES,1STG-000-000,BISON HANDLING FACILITIES,6/5/2015 4:34,40756,6/5/2015
12518,VENDOR 200,10,VENDOR 200,,SQUEEZE CHUTE FOR BISON,15000,USD,PR-107101-94-17-11-1322-000000,5/28/2015,APRIL 2 2015,4,             1500527,1,     74518,1,23520,USD,5/28/2015,               15384,SQUEEZE CHUTE FOR BISON,1STG-000-000,BISON HANDLING FACILITIES,6/5/2015 4:34,40756,6/5/2015
12518,VENDOR 200,11,VENDOR 200,,CONTROL BOX FOR BISON,4600,USD,PR-107101-94-17-11-1322-000000,5/28/2015,APRIL 2 2015,5,             1500527,4,     74518,1,23520,USD,5/28/2015,               15387,CONTROL BOX FOR BISON,1STG-000-000,BISON HANDLING FACILITIES,6/5/2015 4:34,40756,6/5/2015
