Activity Code,Activity Description,Expense Code ,Expense Code Description,Expense Code Category ,Account Number ,Account Description 
1002,Blanket-Furniture and Equipment,1,,Revenues ,101101,Production Plant
1003,Blanket-Communication Equipment,2,Municipalities     ,Revenues ,101102,Production Plant Leased 
1004,Blanket-General Equipment,3,Surplus Sales - Firm  ,Revenues ,101103,Production Plant Land 
1005,Blanket-Transportation Equipment,4,Surplus Sales - Non-Firm  ,Revenues ,101201,Transmission Plant
1006,Blanket-Computer Equipment,5,Interest and Other Income  ,Revenues ,101202,Transmission Plant Leased
1007,Blanket-Laboratory Equipment,6,Wheeling Income    ,Revenues ,101203,Transmission Plant Land
1010,Yampa Work Orders,7,Other Income    ,Revenues ,101301,General General Plant
1011,Rawhide Roof Replacement,8,,Revenues ,101303,General General Land
1012,Rawhide Wind Power Project,9,,Revenues ,106101,UnclassifiedPlant-Production
1013,Data Acquisition Replacement,10,,Personal Services (Salaries/Benefits),106401,UnclassifiedPlant-Transmission
1014,Steam Inert Sys Improvement,11,,Personal Services (Salaries/Benefits),106801,UnclassifiedPlant-General
1015,Bottom Ash Control Sys Replacement,12,Regular Wages    ,Personal Services (Salaries/Benefits),107101,Work In Progress –ProductionPlant
1016,Fly Ash Control Sys Replacement,13,Overtime Wages    ,Personal Services (Salaries/Benefits),107201,Work In Progress –TransmissionPlant
1017,Demineralization Sys Replacement,14,Bonus Pay (Gainshare)   ,Personal Services (Salaries/Benefits),107301,Work In Progress –GeneralPlant
1018,Svc Water Control Sys Replacement,15,,Personal Services (Salaries/Benefits),108101,Accumulated Depreciation –  Plant in   
1019,CEMS - Data Acquisition,16,,Personal Services (Salaries/Benefits),108102,Accumulated Depreciation –  Capitalized Lease Service  
1020,Scrubber Recycle Ashfee,17,,Personal Services (Salaries/Benefits),108103,Accumulated Depreciation –  Miscellaneous Revenue   
1021,Toyo Sump Pump,18,,Personal Services (Salaries/Benefits),108201,Retirement Work in  Progress    
1022,Turbine Recorder Replacement,19,,Personal Services (Salaries/Benefits),118101,Other Utility Plant      
1023,Soot Blower Process Upgrade,20,Pension Contribution – Defined Contribution ,Personal Services (Salaries/Benefits),119101,Accumulated Depreciation –  Other Utility Plant  
1024,Demineralizer Analyzers,21,Pension Contribution – Defined Benefit ,Personal Services (Salaries/Benefits),124104,Other Investments –  General Fund   
1025,Security Upgrade-Rawhide,22,Social Security    ,Personal Services (Salaries/Benefits),124105,Market Value Adjustment  – General Fund  
1026,Baghouse Control System,23,Long-Term Disability    ,Personal Services (Salaries/Benefits),124202,Market Value Adjustment  – Rate Stabilization  
1027,Reclaim Water Chem Fd T,24,Medical and Dental Insurance  ,Personal Services (Salaries/Benefits),124203,Other Investments –  Reserve and Contingency  
1028,Portable Flow Meter,25,Recruiting Expenses    ,Personal Services (Salaries/Benefits),124204,Market Value Adjustment  – Reserve and Fund FundFund
1029,Feed Tank Level Msrmnt,26,,Personal Services (Salaries/Benefits),124205,Other Investments –  Rate Stabilization Fund Fund 
1030,Mill Co Monitor,27,Life Insurance    ,Personal Services (Salaries/Benefits),124207,Other Investments –  Debt Management Reserve Fund 
1031,Vibration Monitor Replacement,28,Accidental Death and Dismemberment  ,Personal Services (Salaries/Benefits),124208,Market Value Adjustment  – Debt Management Contingency Fund 
1032,Turbine Upgrade,29,Workers Compensation    ,Personal Services (Salaries/Benefits),124221,Other Investments –  Generation Reserve Fund  
1033,Inlet S02 Analyzers,30,Unemployment Compensation    ,Personal Services (Salaries/Benefits),124222,Market Value Adjustment  – Generation Reserve Fund 
1034,Stack & Inlet Analyzer,31,Salary and Pension Services  ,Personal Services (Salaries/Benefits),124223,Other Investments –  Series HH Project Reserve 
1035,Undrgrd Storage Tank Upgrade,32,,Personal Services (Salaries/Benefits),124224,Market Value Adjustment  – Series HH Fund FundFund
1036,Fabric Fltr Hopper Leve,33,,Personal Services (Salaries/Benefits),128101,Deferred Compensation Benefit  - ICMA   
1037,Washbay Station/Hvy Eqmpt,34,,Personal Services (Salaries/Benefits),128102,Other Special Funds  - Benefit Plan Fund 
1038,Water Fill Station,35,,Personal Services (Salaries/Benefits),128103,Deferred Compensation Benefit  - PEBSCO   
1039,Hvac,36,,Personal Services (Salaries/Benefits),128104,Other Special Funds  - Flexible Spending Account 
1040,Network Rawhide PCs,37,,Personal Services (Salaries/Benefits),128105,Deferred Compensation Benefit  - Money Purchase Plan 
1041,Door 212 Enclosure,38,Benefits Allocation    ,Personal Services (Salaries/Benefits),131101,Cash – Revenue  Fund    
1042,Rh Control Room Modification,39,Stores Allocation    ,Personal Services (Salaries/Benefits),131103,Cash – Payroll  Fund    
1043,Diesel Gen Fuel Transfer P,40,,Materials and Expenses,131104,Cash – General  Fund    
1044,Over/Under Frequency Pr,41,Office Expenses    ,Materials and Expenses,131106,Cash – Petty  Cash Fund   
1045,Closed Cooling Water Ch,42,Health and Safety Expenses  ,Materials and Expenses,134203,Other Special Deposits  – Reserve and ContingencyFund FundFund
1046,Fabric Filter Sys/Baghouse,43,Office Furniture and Equipment (Minor) ,Materials and Expenses,134205,Other Special Deposits  – Rate Stabilization Fund 
1047,Sodium Hypochlorite Sys,44,,Materials and Expenses,134207,Other Special Deposits  – Debt Management ReserveFund FundFund
1048,Generator Hydrogen Dewp,45,Local Business Expenses   ,Materials and Expenses,134219,Other Special Deposits  – Bond Service Fund/Series EE 
1049,Lake Aeration Diffusers,46,Postage and Deliveries   ,Materials and Expenses,134221,Other Special Deposits  – Generation Reserve Fund 
1050,Sample Panel Recorder,47,Operations and Maintenance Materials and Supplies,Materials and Expenses,134223,Other Special Deposits  – Construction Account Fund 
1051,Atomizer Hoist Platform,48,Coal     ,Materials and Expenses,134224,Other Special Deposits  – Bond Reserve Fund/Series GG
1052,Laboratory Equipment Upgrade,49,Oil     ,Materials and Expenses,134225,Other Special Deposits  – Series HH ProjectFund FundFund
1053,Rochester Events Sequence,50,Natural Gas    ,Materials and Expenses,134226,Other Special Deposits  – Bond Reserve Fund/Series HH
1054,Turbine Supervisory System,51,Gasoline and Diesel   ,Materials and Expenses,136101,Temporary Cash Investment  - Revenue Fund  
1055,Air Compressor Replacement,52,"Tools, Shop and Garage Equipment (Minor)",Materials and Expenses,136102,Market Value Adjustment  - Revenue Fund  
1056,Throttle Valve Modification,53,Purchased Power    ,Materials and Expenses,136104,Temporary Cash Investment  - General Fund  
1057,Stock MPC Feeder Conversion,54,Yampa Operating Agent Expenses  ,Materials and Expenses,136105,Market Value Adjustment  - General Fund  
