account,expense_code,department,location,activity,descp,posting_pd,posting_yr,SumOftrans_amt,date_posted,eff_date
107101,12,17,11,1322, ,7,2015,37.32,22-Jul-15,17-Jul-15
107101,12,17,11,1322,Cross Journal Summarized,6,2015,87.76,3-Jun-15,5-Jun-15
107101,12,17,11,1322,Cross Journal Summarized,6,2015,493.65,18-Jun-15,19-Jun-15
107101,12,17,11,1322,Cross Journal Summarized,6,2015,599.42,24-Jun-15,30-Jun-15
107101,12,17,11,1322,Cross Journal Summarized,7,2015,-599.42,24-Jun-15,1-Jul-15
107101,12,17,11,1322,Cross Journal Summarized,7,2015,351.04,2-Jul-15,3-Jul-15
107101,12,17,11,1322,Cross Journal Summarized,7,2015,1807.91,22-Jul-15,17-Jul-15
107101,12,17,11,1322,Cross Journal Summarized,7,2015,2343.8,30-Jul-15,31-Jul-15
107101,12,17,11,1322,Cross Journal Summarized,7,2015,1004.57,30-Jul-15,31-Jul-15
107101,12,17,11,1322,Cross Journal Summarized,8,2015,-1004.57,30-Jul-15,1-Aug-15
107101,12,17,11,1322,Cross Journal Summarized,8,2015,748.42,20-Aug-15,14-Aug-15
107101,12,17,11,1322,Cross Journal Summarized,8,2015,911.9,26-Aug-15,28-Aug-15
107101,12,17,11,1322,Cross Journal Summarized,8,2015,586.26,26-Aug-15,31-Aug-15
107101,12,17,11,1322,Cross Journal Summarized,9,2015,-586.26,26-Aug-15,1-Sep-15
107101,12,17,11,1322,Cross Journal Summarized,9,2015,80.69,22-Sep-15,11-Sep-15
107101,12,17,11,1322,Cross Journal Summarized,10,2015,1828.16,26-Oct-15,23-Oct-15
107101,12,17,11,1322,Cross Journal Summarized,10,2015,1828.16,26-Oct-15,31-Oct-15
107101,12,17,11,1322,Cross Journal Summarized,11,2015,-1828.16,26-Oct-15,1-Nov-15
107101,12,17,11,1322,PERIOD 13 CLOSING ENTRY,13,2016,-8690.65,1-Feb-17,31-Dec-16
107101,12,17,11,1391, ,11,2015,92.2,24-Nov-15,20-Nov-15
107101,12,17,11,1391, ,11,2015,105.4,24-Nov-15,30-Nov-15
107101,12,17,11,1391, ,12,2015,-105.4,24-Nov-15,1-Dec-15
107101,12,17,11,1391, ,12,2015,1029.02,3-Dec-15,4-Dec-15
107101,12,17,11,1391,PERIOD 13 CLOSING ENTRY,13,2016,-1121.22,1-Feb-17,31-Dec-16
107101,12,17,11,1515, ,7,2015,409.76,2-Jul-15,3-Jul-15
107101,12,17,11,1515, ,7,2015,63.04,22-Jul-15,17-Jul-15
107101,12,17,11,1515, ,11,2015,504.32,10-Nov-15,6-Nov-15
107101,12,17,11,1515,PERIOD 13 CLOSING ENTRY,13,2016,-977.12,1-Feb-17,31-Dec-16
107101,12,17,11,1592, ,7,2015,502.6,30-Jul-15,31-Jul-15
107101,12,17,11,1592, ,7,2015,215.41,30-Jul-15,31-Jul-15
107101,12,17,11,1592, ,8,2015,-215.41,30-Jul-15,1-Aug-15
107101,12,17,11,1592, ,8,2015,152,20-Aug-15,14-Aug-15
107101,12,17,11,1592, ,8,2015,1623.6,26-Aug-15,28-Aug-15
107101,12,17,11,1592, ,8,2015,1043.81,26-Aug-15,31-Aug-15
107101,12,17,11,1592, ,9,2015,-1043.81,26-Aug-15,1-Sep-15
107101,12,17,11,1592, ,9,2015,1406,22-Sep-15,11-Sep-15
107101,12,17,11,1592,PERIOD 13 CLOSING ENTRY,13,2016,-3684.2,1-Feb-17,31-Dec-16
107101,12,17,11,1606, ,10,2015,152.4,26-Oct-15,23-Oct-15
107101,12,17,11,1606, ,10,2015,152.4,26-Oct-15,31-Oct-15
107101,12,17,11,1606, ,11,2015,-152.4,26-Oct-15,1-Nov-15
107101,12,17,11,1606,PERIOD 13 CLOSING ENTRY,13,2016,-152.4,1-Feb-17,31-Dec-16
107101,12,17,11,1625, ,1,2017,-146.42,4-Jan-17,1-Jan-17
107101,12,17,11,1625, ,1,2017,61.42,31-Jan-17,31-Jan-17
107101,12,17,11,1625, ,1,2017,86,31-Jan-17,27-Jan-17
107101,12,17,11,1625, ,2,2016,127.39,2-Mar-16,29-Feb-16
107101,12,17,11,1625, ,2,2016,198.15,2-Mar-16,26-Feb-16
107101,12,17,11,1625, ,2,2017,-61.42,31-Jan-17,1-Feb-17
107101,12,17,11,1625, ,2,2017,430,14-Feb-17,10-Feb-17
107101,12,17,11,1625, ,2,2017,215,6-Mar-17,28-Feb-17
107101,12,17,11,1625, ,2,2017,301,6-Mar-17,24-Feb-17
107101,12,17,11,1625, ,3,2016,-127.39,2-Mar-16,1-Mar-16
107101,12,17,11,1625, ,3,2016,832.23,10-Mar-16,11-Mar-16
107101,12,17,11,1625, ,3,2016,254.75,28-Mar-16,31-Mar-16
107101,12,17,11,1625, ,3,2016,297.23,28-Mar-16,25-Mar-16
107101,12,17,11,1625, ,3,2017,-215,6-Mar-17,1-Mar-17
107101,12,17,11,1625, ,4,2016,-254.75,28-Mar-16,1-Apr-16
107101,12,17,11,1625, ,4,2016,356.67,8-Apr-16,8-Apr-16
107101,12,17,11,1625, ,4,2016,752.97,21-Apr-16,22-Apr-16
107101,12,17,11,1625, ,4,2016,752.97,21-Apr-16,30-Apr-16
107101,12,17,11,1625, ,4,2017,86,11-Apr-17,7-Apr-17
107101,12,17,11,1625, ,4,2017,276.44,26-Apr-17,30-Apr-17
107101,12,17,11,1625, ,4,2017,258,26-Apr-17,21-Apr-17
107101,12,17,11,1625, ,5,2016,-752.97,21-Apr-16,1-May-16
107101,12,17,11,1625, ,5,2016,951.13,10-May-16,6-May-16
107101,12,17,11,1625, ,5,2016,288.75,23-May-16,31-May-16
107101,12,17,11,1625, ,5,2016,237.78,23-May-16,20-May-16
107101,12,17,11,1625, ,5,2017,-276.44,26-Apr-17,1-May-17
107101,12,17,11,1625, ,5,2017,516,16-May-17,5-May-17
107101,12,17,11,1625, ,5,2017,86,5-Jun-17,19-May-17
107101,12,17,11,1625, ,5,2017,110.56,5-Jun-17,31-May-17
107101,12,17,11,1625, ,6,2016,-288.75,23-May-16,1-Jun-16
107101,12,17,11,1625, ,6,2016,79.26,10-Jun-16,3-Jun-16
107101,12,17,11,1625, ,6,2016,198.15,16-Jun-16,17-Jun-16
107101,12,17,11,1625, ,6,2016,268.93,16-Jun-16,30-Jun-16
107101,12,17,11,1625, ,6,2017,-110.56,5-Jun-17,1-Jun-17
107101,12,17,11,1625, ,6,2017,774,7-Jun-17,2-Jun-17
107101,12,17,11,1625, ,6,2017,473,27-Jun-17,16-Jun-17
107101,12,17,11,1625, ,6,2017,129,6-Jul-17,30-Jun-17
107101,12,17,11,1625, ,6,2017,55.28,6-Jul-17,30-Jun-17
107101,12,17,11,1625, ,7,2016,-268.93,16-Jun-16,1-Jul-16
107101,12,17,11,1625, ,7,2016,118.89,8-Jul-16,1-Jul-16
107101,12,17,11,1625, ,7,2016,237.78,2-Aug-16,29-Jul-16
107101,12,17,11,1625, ,7,2016,135.86,2-Aug-16,31-Jul-16
107101,12,17,11,1625, ,7,2017,-55.28,6-Jul-17,1-Jul-17
